symbol,year,revenue,net_income,eps,roe,de,payout
8160,2022,455770243.0,7255779.0,0.21,2.9883,0.0051,
8160,2023,730590772.0,66291668.0,1.14,11.8396,0.0092,
8160,2024,577800581.0,30147605.0,0.57,4.9836,0.0096,
8160,2025,660280371.0,-45181301.0,-0.85,-7.9129,0.0063,
8170,2021,,,,,,
8170,2022,1028876000.0,12702000.0,0.252,2.3671,0.0137,
8170,2023,1205425000.0,93896000.0,1.88,13.9805,0.0087,
8170,2024,1445373000.0,49134000.0,0.98,6.9042,0.0095,0.5495
8170,2025,1192284000.0,-244444000.0,-4.89,-54.371,0.0073,-0.1227
8180,2021,,,,,,
8180,2022,434568289.0,-53459717.0,-2.5181,-34.8367,0.0171,
8180,2023,467073691.0,42299859.0,1.99,21.3423,0.0073,0.0
8180,2024,467015660.0,31858208.0,1.26,7.9465,0.002,0.0
8180,2025,577385465.0,-70317330.0,-2.34,-20.552,0.0098,-0.0001
8190,2021,,,,,,
8190,2022,319474000.0,-55482000.0,-1.39,-21.6599,0.0228,
8190,2023,656482000.0,5292000.0,0.13,1.9958,0.0142,
8190,2024,754183000.0,-15055000.0,-0.38,-5.611,0.0051,
8190,2025,652600000.0,-256219000.0,-6.41,-1042.4305,,
8200,2022,209673021.0,76052381.0,0.5885,7.4768,0.0558,
8200,2023,181898041.0,124429494.0,1.4,10.8499,0.0495,
8200,2024,44574725.0,474811642.0,5.33,29.4564,0.0352,
8200,2025,-101496878.0,140044427.0,0.84,6.39,0.0259,
8210,2021,,,,,,
8210,2022,13438428000.0,805117000.0,5.39,19.1654,0.044,0.6707
8210,2023,16464810000.0,940163000.0,6.29,20.1082,0.0355,0.5744
8210,2024,18794316000.0,1166002000.0,7.79,22.7824,0.0283,0.5146
8210,2025,20087087000.0,1079092000.0,7.23,19.0216,0.0466,0.556
8230,2021,,,,,,
8230,2022,2496948000.0,72391000.0,0.36,5.4538,0.0371,
8230,2023,3770821000.0,328061000.0,1.64,19.0425,0.0241,
8230,2024,5176091000.0,332343000.0,1.66,15.9748,0.0186,
8230,2025,4546712000.0,454981000.0,2.275,17.9431,0.0123,
8240,2021,,,,,,
8240,2022,136524385.0,12537584.0,0.315,3.1757,,
8240,2023,164811649.0,24817556.0,0.83,5.8554,,
8240,2024,180296967.0,16292651.0,0.41,3.5854,,
8240,2025,195443254.0,10616871.0,0.27,2.2261,0.007,
8250,2021,,,,,,
8250,2022,1425731000.0,15913000.0,0.3,1.6946,0.018,3.1421
8250,2023,1504339000.0,128526000.0,2.45,12.07,0.0283,0.1945
8250,2024,1379606000.0,98195000.0,1.87,9.0091,0.0243,0.802
8250,2025,1355675000.0,126189000.0,2.4,10.5028,0.02,0.4993
8260,2021,,,,,,
8260,2022,385978000.0,-106067000.0,-3.5333,-36.1197,0.0001,
8260,2023,376801000.0,3532000.0,0.12,1.1758,0.015,
8260,2024,385356000.0,-94207000.0,-3.14,-42.0744,0.0153,
8260,2025,298205000.0,-120488000.0,-4.02,-72.9726,0.0134,
8280,2021,,,,,,
8280,2022,236460000.0,-42945000.0,-1.07,-12.88,,
8280,2023,436864000.0,11258000.0,0.28,2.8867,,
8280,2024,381431000.0,32761000.0,0.82,7.4364,,
8280,2025,475071000.0,26640000.0,0.67,5.5653,,
